Year,prm,Race
1998,12,All
1998,8.3,White
1998,30.5,Black
1999,13.2,All
1999,9.5,White
1999,32.2,Black
2000,14.5,All
2000,10.5,White
2000,36.8,Black
2001,14.7,All
2001,10.2,White
2001,38.1,Black
2002,14.1,All
2002,9.8,White
2002,38.9,Black
2003,16.8,All
2003,11.7,White
2003,43.5,Black
2004,15.2,All
2004,10.6,White
2004,41.4,Black
2005,15.4,All
2005,10.7,White
2005,38.7,Black
2018,14.9,White
2019,17.9,White
2020,19.1,White
2018,37.3,Black
2019,44,Black
2020,55.3,Black
2018,17.4,All
2019,20.1,All
2020,23.8,All